code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
23-GVMLP,Gloves Low Powder VINYL Med,66,10.0,1.0,4.5,4.95,4.5,4.95,1.0,4.5,4.95,4.5,4.95,,,
08-PILLARS,Pizza Box Pillars,66,10.0,1.0,47.45,52.195,47.45,52.195,1.0,47.45,52.195,47.45,52.2,,,
23-GVLLP,Gloves Low Powder VINYL Large,66,10.0,2.0,4.5,4.95,9.0,9.9,2.0,4.5,4.95,9.0,9.9,,,
19-RD132,Docket Book 132 Dup Carbonless 50pg. T/Away,66,10.0,6.0,1.2,1.32,7.2,7.92,6.0,1.2,1.32,7.2,7.92,,,
08-PIZ15PB,"Pizza Box Brown 15"" Perfect Bite 50‘s",66,10.0,4.0,24.85,27.335,99.4,109.34,4.0,24.85,27.335,99.4,109.34,,,
0I-CGC5,Green Clean Detergent 5L,66,10.0,1.0,10.05,11.06,10.05,11.06,1.0,10.05,11.06,10.05,11.06,,,
23-GVMLP,Gloves Low Powder VINYL Med,67,10.0,1.0,4.5,4.95,4.5,4.95,1.0,4.5,4.95,4.5,4.95,,,
23-GVLLP,Gloves Low Powder VINYL Large,67,10.0,1.0,4.5,4.95,4.5,4.95,1.0,4.5,4.95,4.5,4.95,,,
23-GVXLLP,Gloves Low Powder VINYL XLge,67,10.0,5.0,4.5,4.95,22.5,24.75,5.0,4.5,4.95,22.5,24.75,,,
19-RD132,Docket Book 132 Dup Carbonless 50pg. T/Away,67,10.0,5.0,1.2,1.32,6.0,6.6,5.0,1.2,1.32,6.0,6.6,,,
12-LDBIN82HP,Bin Liner 82L HD Handy Pack 100's,67,10.0,1.0,18.2,20.02,18.2,20.02,1.0,18.2,20.02,18.2,20.02,,,
12-MCW,Singlet Bags White Medium - 250's,67,10.0,1.0,4.15,4.565,4.15,4.565,1.0,4.15,4.565,4.15,4.57,,,
08-PIZ15PB,"Pizza Box Brown 15"" Perfect Bite 50's",67,10.0,5.0,24.85,27.335,124.25,136.675,5.0,24.85,27.335,124.25,136.68,,,
04-6620DLMAR.,Food Bowl 20oz Dome Lid Mar 50,67,10.0,1.0,16.55,18.21,16.55,18.21,1.0,16.55,18.21,16.55,18.21,,,
02-CAWIPEBlue,Wipes H.D. Roll BLUE CA,67,10.0,1.0,19.05,20.96,19.05,20.96,1.0,19.05,20.96,19.05,20.96,,,
19-RD132,Docket Book 132 Dup Carbonless 50pg. T/Away,68,10.0,12.0,1.2,1.32,14.4,15.84,12.0,1.2,1.32,14.4,15.84,,,
