code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
141853,Bread Soy Linseed Gluten Free,38,0.0,0.5,7.14,7.14,3.57,3.57,0.5,9.17883024885,9.17883024885,4.58941512442,4.58941512442,,,
151466,Lamb Patties,38,10.0,1.6,32.93,36.223,52.688,57.9568,1.6,40.483930279,44.5323233069,64.7742884464,71.2517172911,,,
158612,Quiche P/c Roast Mushroom & Thyme,38,10.0,2.0,36.81,40.491,73.62,80.982,1,36.81,40.491,36.81,40.491,,,
123399,Cups Paper Hot Double Wall 355ml 12oz Montmartre,38,10.0,15.0,5.78,6.358,86.7,95.37,15,5.78,6.358,86.7,95.37,,,
122519,Eggs Poached 80mm Large,38,0.0,2.0,47.74,47.74,95.48,95.48,2,95.3090008897,95.3090008897,190.618001779,190.618001779,,,
107795,Cooking Wine Red 10% Alcohol,38,0.0,2.2,53.26,53.26,117.17200000000001,117.17200000000001,1.2,53.26,53.26,63.912,63.912,,,
159943,Sauce Pizza Pasta,38,0.0,3.0,9.56,9.56,28.68,28.68,3,18.1519153605,18.1519153605,54.4557460816,54.4557460816,,,
151717,Hotcakes Plain 100mm,38,10.0,5.0,31.83,35.013,159.15,175.065,5,31.83,35.013,159.15,175.065,,,
102447,Jam Strawberry Light,38,0.0,11.0,3.83,3.83,42.13,42.13,10,3.83,3.83,38.3,38.3,,,
155694,Meals Minced Mixed Variety,38,10.0,1.0,162.75,179.025,162.75,179.025,1,162.75,179.025,162.75,179.025,,,
107645,Biscuits P/c Fruit Oat & Cinnamon,38,10.0,16.0,23.18,25.498,370.88,407.968,15,23.18,25.498,347.7,382.47,,,
140283,Quiche Party Combo Pack,38,10.0,1.2,77.95,85.745,93.54,102.894,1.2,92.6329107201,101.896201792,111.159492864,122.275442151,,,
154205,Onions Caramelised,38,0.0,3.0,37.49,37.49,112.47,112.47,3,37.49,37.49,112.47,112.47,,,
130715,Chips Steakhouse,38,0.0,1.6,41.46,41.46,66.336,66.336,1.6,41.46,41.46,66.336,66.336,,,
121715,Frittata Pumpkin & Bacon,38,10.0,2.5,28.08,30.888,70.2,77.22,2.5,28.08,30.888,70.2,77.22,,,
23056,Paprika Smokey,38,0.0,1.0,18.14,18.14,18.14,18.14,1,18.14,18.14,18.14,18.14,,,
159311,Container Lunch Box Medium,39,10.0,3.0,67.42,74.162,202.26,222.486,3,67.42,74.162,202.26,222.486,,,
