Wholesaler,Code,Item Description,Brand,Pack Size,Unit of Measure,Unit Price,GST Value,Total Value,,,,,,,,,
,148057,Custard Uht Vanilla,Foster Clarks,2 Kg,Pkt,2.32,,2.32,,,,,,,,,
,65878,Spring Water,Frantelle,2 Kg,Pkt,2.30,,2.30,,,,,,,,,
,148002,Milk Almond Barista Blend Blue Diamond,Freedom,1 Lt,Ea,3.75,,3.75,,,,,,,,,
,108926,Sauce Hollandaise,Frenchmaid,1 Lt,Btl,12.71,,12.71,,,,,,,,,
,106369,Cheese Haloumi,Fresco,2 Kg,Pail,46.04,,46.04,,,,,,,,,
,136262,Carrot Diced Iqf,Garden Supreme,2.5 Kg,Pail,3.79,,3.79,,,,,,,,,
,89664,Noodles Singapore,Hakka,2 Lt,Btl,2.53,,2.53,,,,,,,,,
,140035,Chillies Dried Red Small,Madam Wong,500 Gm,Pkt,7.77,,7.43,,,,,,,,,
,15107,Chutney Fruit,Riviana,2.26 Kg,Pail,24.20,2.42,26.62,,,,,,,,,
,21081,Paste Curry Green ,Maeploy,734 Gm,Bkt,2.41,,2.41,,,,,,,,,
,24934,Paste Curry Green ,Maeploy,1.5 Kg,Bkt,5.17,,5.17,,,,,,,,,
,143705,Duck Legs Confit 180-200gr Twin ,Luv-a-duck,4.5 Kg,Kg,18.42,,18.20,,,,,,,,,
,58335,Noodles Soba Organic,Hakubaku,3 Kg,Btl,2.60,,2.60,,,,,,,,,
,146399,Beef Pulled,Hans,1 Kg,Pkt,23.30,,23.30,,,,,,,,,
,509,Tomato Paste,Heinz,2.95 Kg,Can,16.21,,16.21,,,,,,,,,
,25785,Seeds Sesame Black,Hindustan,1 Kg,Pkt,20.82,,20.82,,,,,,,,,
,64994,Bicarbonate Soda,Caterers Choice,2 Kg,Pkt,5.74,,5.74,,,,,,,,,
,8963,Capers In Vinegar,Sandhurst,2 Kg,Jar,14.73,,14.73,,,,,,,,,
,56339,Flour Plain,Caterers Choice,10 Kg,Bag,10.70,,10.70,,,,,,,,,
